year,Argentina,Australia,Austria,Barbados,Belgium,Bolivia (Plurinational State of),Botswana,Brazil,Burkina Faso,Cameroon,Canada,Chad,Chile,China,"China, Hong Kong SAR",Colombia,Costa Rica,Cyprus,Côte d'Ivoire,Denmark,Dominican Republic,Ecuador,Egypt,Finland,France,Gabon,Germany,Greece,Guatemala,Iceland,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Paraguay,Peru,Philippines,Portugal,Republic of Korea,Romania,Rwanda,Senegal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,U.R. of Tanzania: Mainland,United Kingdom,United States,Uruguay,Venezuela (Bolivarian Republic of),Zambia,Zimbabwe
1980-01-01,27473.10265345301,229351.52275649298,131907.574698583,53154.51970749905,241480.75193710063,13354.623845717144,18088.939600690108,36910.93784516543,2452.9776452829237,9626.69759902042,194101.82718604596,5346.357894736842,69432.85790085164,4435.733766101702,62219.233634960154,75950.75744974165,44408.43477255881,262375.9567885542,8760.239471429913,203595.3079097598,39437.748166696234,63277.0173469235,2767.799814356379,227193.61485092485,276624.9828035239,86283.76756704699,191705.30937498645,238256.26073140992,17370.554417692154,276368.77116234956,8418.901162428747,12339.473910162624,86844.00454638191,125760.8635626721,163701.86166299618,217420.09768979534,72806.46260800409,187831.7241159179,50780.66094722597,10725.127675254143,293964.0255213094,54905.59782850323,57725.97124207146,24080.939455603602,85917.54974123315,11364.395827126827,2613.41482224179,57128.45852564891,232462.5697428448,114953.6231301077,17478.786531541853,84112.192029921,229157.85186019167,22305.985846538053,18090.439980240728,17821.396745018876,88801.91023033248,40821.08837181972,26372.96109202824,632.331278074316,18362.87717634534,75346.98448452717,78566.43101699273,209213.09782331623,15623.233241118356,181405.63981362383,279246.1547610078,42836.802875238114,16394.10723960024,78972.00978136974,25391.181714191924,87988.80848360847,10065.194449800621,128740.89805397451,280897.3380263519,82560.68462631982,141068.52135253412,16172.662047538675,4723.607312540489
1981-01-01,28523.12234328236,236906.86786247607,141875.41948309052,56470.812546300964,243729.47843857374,13179.429605723606,19242.735191279735,38166.12878887215,2647.8934368835808,9462.630058857827,201560.91492147508,5249.542114734988,72138.96383948778,4592.847257065325,64532.63086604463,76360.22766295871,46181.980007270744,269346.6366157736,9081.69172538422,203167.11512604597,38758.81771464263,65234.14290103251,3106.080715675621,226749.54265096373,276255.1811995656,89740.46841446428,194563.14352552223,228503.6760265836,17731.74375783814,276852.95574347704,7945.005796017155,12634.971613075806,79860.21350498375,132680.4938202121,166345.26689472568,221924.65456772735,68201.32158064366,186651.59954925868,57244.360758285526,10461.489379895358,295632.05223081546,57603.17738426693,62898.295721049166,24321.903184296905,90076.23959303524,11695.376180993502,2697.700630296362,58672.30108716106,231656.06398317026,121429.42166207838,17772.859822458387,89541.50613608974,236015.69932208429,25304.060822284373,19072.523421103873,18178.705645697224,94491.71495542019,42550.12623255588,28280.81526712696,671.632865040717,17081.358841859077,77993.60900198366,81063.87249465426,213240.24158568474,17445.491262130196,184984.9432249172,287678.57242512313,46843.56494280635,16322.174466406543,84792.22289872405,26744.817532585417,92267.77524493588,10552.19470855347,133030.46717110937,285353.16028267716,87051.53613106163,143090.21962119592,15116.974340817866,4671.770204254213
1982-01-01,29310.79202519867,244858.66879295185,157135.2814597374,60588.5605016663,242052.738699481,13148.603509577948,20658.602671133955,38748.84350330937,2843.3457008170317,9046.281191925214,221142.04354850136,5136.907965803891,78678.1701770711,4729.914810691193,71009.43743566891,78556.54435193079,45517.301639590594,277159.6204856927,9745.303513019508,197190.71519098443,36418.60785012585,66542.9680321168,3560.7897553053826,221621.32986540374,268518.30329694203,92051.46768435031,194335.1133938207,223864.78223228213,18928.26030874203,280595.35299758654,7373.530304488323,13333.564216126146,75364.04171914893,136171.10560658455,169749.98001455519,220683.39769463617,66673.00490324352,174206.87346661746,61140.48978681002,9933.531716220283,294576.07878347894,61090.9890419344,70755.1362835782,24254.413672067305,91654.01065116671,13299.72511733156,2765.8902087522983,59190.42193695676,230810.14911450274,125522.78273671134,17649.756724502495,97718.44353271938,245434.3393099587,27272.16806503876,20150.71608170711,19606.725066169947,101664.07877791338,43860.46875691303,29894.048827040788,738.9890811281781,15125.924592480627,83876.44541619743,83010.19696126311,204616.3607968177,19872.88738830481,189293.97762392886,294503.9689403733,50407.97404896823,16245.885226147908,88340.05185262057,28518.73750165989,93253.57488663218,11905.550526078103,137507.08588306324,293674.63407006464,89238.76528955641,145197.85246161028,14031.489965916615,4760.710478346964
1983-01-01,29924.147510492356,255686.00417421057,174612.2508701947,62979.462525254705,237006.0387840899,12699.730993702742,22369.56009281596,40186.8157984833,2967.033442964853,8857.99497257743,230707.32698952346,4947.665365283625,73588.92296292739,4964.799362649007,76237.61627872994,81095.69027787217,43648.17023660772,280204.11414605635,10700.345475985516,191241.16383394637,34600.43557045986,64496.80528655398,3948.0858058226336,216094.707424483,258747.64935640473,94335.80890582086,192604.37808948316,213718.99861916705,19655.972017296866,286027.1373746244,6853.584807668678,13557.286152364584,74984.78365174704,137074.3926385794,171638.9179098952,216821.62576628575,63909.77611920287,159559.5588907845,62092.40657773423,9176.998807319858,289008.15352808597,63980.86594511418,76094.33847403391,24194.635579457165,92355.01582331554,15941.992034148861,2690.2983666666255,57996.628713417864,227841.44557186408,130126.01982965374,17080.28168457213,110461.76184549049,256106.66429560128,28334.10420854206,20123.96790868442,19010.867297423254,104447.87601169688,46170.718794656226,31339.32025062135,815.8922460632905,13564.187809625162,91900.88878387316,83979.35383794451,191043.46671427885,23458.86879400704,192474.01625102555,301478.2593381869,52532.6642103886,15693.848235989926,93541.43338199156,30461.549903745956,95070.52332365778,13946.040358063756,139734.99343899,296748.90433171584,87124.16740093051,146073.59602170528,13091.348644063773,4947.062583743296
1984-01-01,31276.783900757182,255623.34604139673,193704.66951780702,65802.105424359,232258.14913299886,12116.905374514765,23483.09736061946,40849.27525441495,3063.376546548077,9024.878764994384,237374.51190905776,4749.980100635372,72226.76185574607,5245.235314869094,79997.44953811953,83232.86892581708,42503.31245861342,285450.9785396472,11813.757111573814,186148.13886418144,32360.701764246576,63793.78393953362,4288.764224566098,211875.39367940085,253538.2166469364,95874.15957039513,190095.39050940174,207374.06147945445,19361.807760502747,289849.1011975952,6537.1098518038625,13375.287189228464,75492.34598819539,139957.89499997327,176347.54788819735,216336.55056804494,59211.17437480733,152387.72763482892,62976.67994751227,8931.026126121427,283857.8052795271,67447.03505538231,79946.07696077976,25258.518755305464,91286.3806661097,20269.258248383216,2643.071819192228,55532.40595290195,224416.56659224152,134643.60577091522,16155.101432983007,124386.44648145756,266207.1904462548,29427.6739672106,20532.164159230957,19474.127034344783,111568.24688349133,50073.72993419864,32852.96256320195,908.888666981726,12360.674569985562,102107.79671362478,84648.11769773705,185850.4151498421,27370.115308857665,195365.261285157,305803.6959086633,55169.191048065986,15527.40658888177,94627.777364392,33069.038072473006,96686.91760267512,16335.20840082965,139090.44903406,293893.3001200247,85841.90565714316,145493.65291296988,12366.209876588639,5198.086432043995
1985-01-01,33545.71426480433,255553.33157065682,207790.97953274596,67402.6392722603,230870.99009796942,11726.966342299911,24759.17807459656,40473.754367399815,3250.625795535654,9419.072532826896,241126.37260029162,4602.8506379689625,69430.5042740709,5606.456920950718,85045.43445133191,83690.72768298951,42289.22652103432,286172.9634222623,12724.215868462923,184756.79483226425,38917.73872980346,63892.17029838831,4638.137623013901,213577.42073041832,253140.410485522,98150.42323491891,190328.32362113765,203169.1788613076,19785.02404126167,287392.46348837623,6495.4269279797845,13243.42735187536,74213.67012186779,142035.81868971587,183561.68134068995,217903.17949370696,57503.73843749199,153077.62268184972,61923.807645831395,8797.620684279687,280633.05877381185,70219.61333643644,82505.16142113619,25120.611780029587,90506.31051654744,24856.729287869213,2572.2794086697545,53025.83451086329,223238.10318203352,136182.87204242992,15971.505186920602,127379.03689982899,270686.1770515753,30519.425822712972,21256.05345891577,19571.771134175156,119329.71748613506,52962.0620526608,34206.05730699819,986.4185269287744,11704.105959249971,114163.36927578822,84947.00379280171,186661.0275637871,30469.28954891164,198862.99222253385,308146.4085964033,58164.69398078689,16316.955183422204,99948.96283726463,35585.563496300914,98036.72666727027,17345.85218903617,140459.04753681648,297410.9005605309,84686.97460679535,141278.59097138772,11908.938016313308,5405.744780206711
1986-01-01,35839.29144887142,252851.7962784864,216320.3158677865,64184.71458722272,231247.74996922762,11583.598300771833,25906.51262664678,42592.81429953687,3421.7771420524746,9843.692016002376,244155.83250021376,4477.294548958759,67633.0430000186,5990.497157537439,90001.37684607027,83175.81927325488,42314.19208236593,289650.3191271206,13119.064806965824,187518.00893383464,42927.75219901885,64669.425978824394,5032.1644481584335,221913.164434842,254746.7794821503,99558.70754430736,192962.924845834,209083.77984660616,20332.724874760235,284969.6506166381,6621.621771574256,13112.094553953344,80431.9250293917,146147.9315044263,188603.55046029226,224430.37645656228,52467.15608216899,160226.78066589218,61034.24164549506,8661.733525548583,285516.47762965184,70765.10509052126,83922.91294181075,24454.20841077417,90044.45647696241,27620.414096140194,2562.2012912672917,50271.92805761565,223949.02978569237,138323.60053605994,15394.812522742315,108411.57461052957,269544.3690632317,31681.066518733234,21228.983301763394,19235.45863551488,126598.74992224893,57509.803343162814,35458.721295589945,1051.489952783024,11465.536274045904,123509.91165511849,84777.11698969727,190238.6206362176,29365.67595120852,203563.4848361967,309831.97480326483,59959.13404735474,16866.80784777847,101476.69244594008,37828.81575287693,96516.21030387675,16694.471452555772,142699.97137680635,300041.296218493,82855.45423304934,134635.75130200153,11852.90992062009,5588.613485195988
1987-01-01,39495.595314588594,257574.12586148505,227136.54289749975,60527.12232254757,233513.92698975155,11385.00207313383,26583.534276161146,44512.97218897137,3579.193987209449,10457.586507282762,248883.31546286662,4393.234014504713,68078.30906765064,6402.636617385577,97198.72363619828,81125.30017110823,42217.28901357341,290744.44939224725,13573.900257535335,194011.957238281,43308.8154178592,64039.79934484275,5522.3140152229735,230152.73178081965,256732.45450877465,95851.05880687875,197603.35037086342,219560.93779189218,20296.28276416132,278425.97147788794,6801.404190206347,12987.862230777308,80296.76172807871,151359.31776316251,192878.939035576,235798.5497385175,48568.181025529884,170274.51682983967,60838.225366139355,8980.950636750928,296983.77965966635,69132.57050460039,84548.48239196725,26030.78170115221,89550.62666543855,30504.805896680024,2645.9983028367487,48637.162611802225,226299.03143955028,143141.49228869943,14997.228895255857,76769.94214864711,269559.07672877534,32984.067589312144,22744.496219041732,19817.825741262808,133554.88027602108,62605.5507919703,36430.42402113284,1101.7872644818103,11487.407090038345,125552.49619708773,80939.59187417655,192088.45956102994,26019.873675234114,209397.2753378933,311536.1880013033,63249.12346701589,17716.00106563047,101558.3873266084,40786.63447853039,95262.79096722991,15968.356007469922,144464.35536936382,301220.778745124,82932.6118729977,128009.05878247668,12073.07905252182,5878.462308458043
1988-01-01,44277.082490710854,261815.78943198372,238546.6570051176,55978.266865091304,238230.0110088805,11796.315046320618,28044.315634164355,46351.198497942125,3724.6795255166894,11127.47895919424,254794.72070585936,4320.151038037622,69862.41292423788,6825.823008790101,106907.11481347287,81573.74158755153,42460.83604147241,288324.1754851173,14139.257555434193,202934.06095363124,40349.06096493976,64792.47780709493,6205.448270167307,243882.30928172937,260739.63868425452,95649.26711066875,204945.4567846264,229884.09107624544,20452.026842529092,300506.4285798898,7004.636103962216,12708.040499436122,82165.25422208336,159977.08910265318,194513.95389522845,249741.2526610322,44915.713795699376,183282.06640657512,61197.16393725995,9509.913574053344,314365.1204451425,68903.58884831298,88496.30590958067,27490.596916954095,90148.20145078322,34720.96678800985,2637.6643034753733,47484.321882804215,231938.04254647947,153595.42302044824,14622.449849136057,52966.70149308549,275622.7529732028,34411.47916124552,25108.02916954008,20526.088805821513,142604.60553186032,70570.12545601021,37294.2966290238,1156.2032920356771,11926.619604403542,127157.87160984219,78319.27928619165,199477.41003251393,22727.84829124479,216547.22047772657,315220.54675447237,68834.01575168352,19362.31749867673,93930.59545042462,44625.161484144766,91269.75033908778,15129.006196896911,145569.2044192933,303245.0486304016,82664.76982136036,122523.61244706648,12757.175119059611,6312.635500389293
1989-01-01,50551.14785011508,265917.1947870771,250942.56751377578,49563.60654496738,247412.03790829785,11379.319072412121,31959.305317927647,49000.91948138474,3895.2237780044843,11727.85567730057,264603.3834774957,4250.085194282297,72609.14907620334,7016.310881000692,120536.93666686687,80305.46962939519,41742.42176172221,291769.47175017593,14802.526087174454,212914.46800369918,41934.70955040049,62857.541325437975,7078.674426705361,259430.20757401726,265599.94042200915,93960.51102490904,214439.92295074917,248297.63589348918,20468.287147109946,313731.845653415,7257.859475640656,12507.604918101955,85030.77721441814,172775.72032924547,201141.35182266316,268259.2425752989,42620.26143240823,198701.57108883944,61070.55146237693,9829.987246990988,331537.68732176424,69631.93416988426,93806.79167816605,30894.230073495062,97064.79765894116,39762.746641174796,2609.751554125519,46545.874030265135,236410.50191267766,165551.56013988383,14235.140248285214,38800.743786350504,286637.40199147066,36152.06285003565,26784.1242506697,22112.226627011823,153297.1139993465,79846.13243767878,38062.726526032195,1191.7923838745692,12686.501473457722,129653.34233352385,76341.69412105359,209272.66575799853,20111.264761022998,227724.3954882254,318978.64103107655,74642.88329288493,22479.615642707737,88595.11913145105,50265.68890730164,87680.27219423765,14357.571876059787,148561.02933389466,305692.8958379845,83754.01542630667,120299.49703577902,13949.604378277983,6894.098643888892
